,City,Population,Violent crime,Murder and nonnegligent manslaughter,Rape (revised definition)1,Rape (legacy definition)2,Robbery,Aggravated assault,Property crime,Burglary,Larceny- theft,Motor vehicle theft,Arson3
0,Adams Village,1851.0,0.0,0.0,,0.0,0.0,0.0,11.0,1.0,10.0,0.0,0.0
1,Addison Town and Village,2568.0,2.0,0.0,,0.0,1.0,1.0,49.0,1.0,47.0,1.0,0.0
2,Afton Village4,820.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3,Akron Village,2842.0,1.0,0.0,,0.0,0.0,1.0,17.0,0.0,17.0,0.0,0.0
4,Albany4,98595.0,802.0,8.0,54.0,,237.0,503.0,3888.0,683.0,3083.0,122.0,12.0
5,Albion Village4,5872.0,26.0,0.0,3.0,,2.0,21.0,204.0,41.0,159.0,4.0,0.0
6,Alexandria Bay Village4,1107.0,0.0,0.0,0.0,,0.0,0.0,7.0,2.0,5.0,0.0,0.0
7,Alfred Village4,4032.0,11.0,1.0,1.0,,0.0,9.0,30.0,6.0,24.0,0.0,0.0
8,Altamont Village4,1723.0,1.0,0.0,0.0,,0.0,1.0,2.0,2.0,0.0,0.0,0.0
9,Amherst Town4,118860.0,128.0,1.0,16.0,,43.0,68.0,2066.0,176.0,1846.0,44.0,2.0
10,Amity Town and Belmont Village4,2250.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Amityville Village,9509.0,12.0,0.0,,0.0,11.0,1.0,198.0,10.0,175.0,13.0,1.0
12,Amsterdam,18099.0,27.0,0.0,,0.0,15.0,12.0,490.0,107.0,370.0,13.0,3.0
13,Angelica Village4,846.0,1.0,0.0,0.0,,0.0,1.0,6.0,4.0,2.0,0.0,0.0
14,Arcade Village,2030.0,0.0,0.0,,0.0,0.0,0.0,25.0,7.0,18.0,0.0,0.0
15,Ardsley Village,4561.0,1.0,0.0,,0.0,0.0,1.0,25.0,6.0,19.0,0.0,
16,Asharoken Village,656.0,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,4.0,2.0,0.0
17,Attica Village,2502.0,0.0,0.0,,0.0,0.0,0.0,12.0,0.0,12.0,0.0,2.0
18,Avon Village4,3333.0,2.0,0.0,0.0,,1.0,1.0,14.0,1.0,11.0,2.0,0.0
19,Baldwinsville Village4,7485.0,2.0,0.0,1.0,,0.0,1.0,65.0,1.0,60.0,4.0,0.0
20,Ballston Spa Village4,5470.0,8.0,0.0,0.0,,2.0,6.0,73.0,21.0,51.0,1.0,0.0
21,Batavia4,15223.0,71.0,0.0,17.0,,12.0,42.0,599.0,115.0,476.0,8.0,3.0
22,Bath Village4,5703.0,14.0,0.0,3.0,,3.0,8.0,148.0,21.0,126.0,1.0,1.0
23,Beacon4,14330.0,43.0,0.0,3.0,,17.0,23.0,245.0,38.0,201.0,6.0,0.0
24,Bedford Town4,17782.0,2.0,0.0,1.0,,0.0,1.0,123.0,12.0,109.0,2.0,1.0
25,Bethlehem Town4,34653.0,34.0,0.0,7.0,,6.0,21.0,454.0,58.0,385.0,11.0,3.0
26,Binghamton4,46229.0,305.0,1.0,49.0,,82.0,173.0,2048.0,343.0,1653.0,52.0,5.0
27,Black River,1392.0,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0
28,Blooming Grove Town4,11960.0,8.0,0.0,0.0,,2.0,6.0,86.0,18.0,59.0,9.0,0.0
29,Bolton Town,2321.0,0.0,0.0,,0.0,0.0,0.0,9.0,3.0,6.0,0.0,0.0
30,Boonville Village,2053.0,1.0,0.0,,0.0,0.0,1.0,10.0,0.0,10.0,0.0,0.0
31,Brant Town,2063.0,1.0,0.0,,0.0,0.0,1.0,21.0,9.0,12.0,0.0,0.0
32,Brewster,2349.0,0.0,0.0,,0.0,0.0,0.0,9.0,2.0,6.0,1.0,0.0
33,Briarcliff Manor Village,8060.0,2.0,0.0,,0.0,0.0,2.0,17.0,4.0,13.0,0.0,0.0
34,Brighton Town4,36884.0,26.0,0.0,4.0,,8.0,14.0,854.0,75.0,754.0,25.0,0.0
35,Brockport Village4,8405.0,10.0,0.0,1.0,,1.0,8.0,128.0,23.0,104.0,1.0,1.0
36,Bronxville Village,6421.0,2.0,0.0,,0.0,2.0,0.0,25.0,5.0,20.0,0.0,0.0
37,Brownville Village,1162.0,0.0,0.0,,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0
38,Buffalo4,258419.0,3174.0,60.0,174.0,,1277.0,1663.0,12449.0,3119.0,8362.0,968.0,
39,Cairo Town4,6548.0,3.0,0.0,0.0,,0.0,3.0,55.0,13.0,41.0,1.0,0.0
40,Cambridge Village4,1844.0,1.0,0.0,0.0,,0.0,1.0,32.0,5.0,27.0,0.0,0.0
41,Camden Village,2214.0,2.0,0.0,,0.0,0.0,2.0,35.0,4.0,31.0,0.0,0.0
42,Camillus Town and Village,24307.0,13.0,0.0,,0.0,3.0,10.0,470.0,35.0,429.0,6.0,0.0
43,Canajoharie Village,2168.0,1.0,0.0,,0.0,0.0,1.0,12.0,2.0,10.0,0.0,0.0
44,Canandaigua4,10452.0,48.0,0.0,18.0,,2.0,28.0,301.0,56.0,237.0,8.0,1.0
45,Canastota Village4,4704.0,8.0,0.0,1.0,,1.0,6.0,75.0,8.0,64.0,3.0,0.0
46,Canisteo Village,2236.0,1.0,0.0,,0.0,0.0,1.0,9.0,2.0,7.0,0.0,2.0
47,Canton Village4,6820.0,1.0,0.0,0.0,,0.0,1.0,33.0,3.0,30.0,0.0,1.0
48,Carmel Town4,34463.0,12.0,0.0,0.0,,2.0,10.0,206.0,42.0,159.0,5.0,1.0
49,Carroll Town,3461.0,4.0,0.0,,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0
50,Carthage Village4,3710.0,3.0,0.0,1.0,,0.0,2.0,62.0,14.0,44.0,4.0,0.0
51,Cattaraugus Village,975.0,1.0,0.0,,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0
52,Cayuga Heights Village4,3787.0,2.0,1.0,0.0,,1.0,0.0,38.0,15.0,23.0,0.0,0.0
53,Cazenovia Village4,2760.0,2.0,0.0,2.0,,0.0,0.0,41.0,6.0,35.0,0.0,0.0
54,Central Square Village,1839.0,4.0,0.0,,0.0,1.0,3.0,40.0,5.0,34.0,1.0,0.0
55,Centre Island Village4,411.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,0.0
56,Chatham Village,1721.0,0.0,0.0,,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0
57,Cheektowaga Town4,78209.0,202.0,1.0,25.0,,66.0,110.0,2699.0,300.0,2324.0,75.0,8.0
58,Chester Town4,7958.0,3.0,0.0,1.0,,1.0,1.0,22.0,0.0,20.0,2.0,0.0
59,Chester Village4,3914.0,6.0,0.0,0.0,,3.0,3.0,108.0,8.0,98.0,2.0,0.0
60,Chittenango Village4,5031.0,1.0,0.0,0.0,,0.0,1.0,42.0,9.0,33.0,0.0,0.0
61,Cicero Town4,29671.0,19.0,0.0,2.0,,4.0,13.0,477.0,54.0,417.0,6.0,0.0
62,Clarkstown Town4,81435.0,73.0,1.0,13.0,,26.0,33.0,1458.0,83.0,1348.0,27.0,2.0
63,Clayton Village4,2027.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,2.0,0.0,0.0
64,Clyde Village4,2031.0,2.0,0.0,1.0,,1.0,0.0,38.0,9.0,28.0,1.0,0.0
65,Cobleskill Village,4488.0,0.0,0.0,,0.0,0.0,0.0,151.0,13.0,137.0,1.0,0.0
66,Coeymans Town,7441.0,20.0,1.0,,0.0,3.0,16.0,63.0,14.0,44.0,5.0,0.0
67,Cohoes4,16202.0,42.0,0.0,4.0,,12.0,26.0,225.0,51.0,153.0,21.0,7.0
68,Colonie Town4,78717.0,72.0,0.0,5.0,,37.0,30.0,2010.0,187.0,1786.0,37.0,9.0
69,Cooperstown Village4,1830.0,0.0,0.0,0.0,,0.0,0.0,12.0,1.0,9.0,2.0,0.0
70,Corning4,11041.0,38.0,0.0,2.0,,4.0,32.0,342.0,48.0,289.0,5.0,0.0
71,Cornwall-on-Hudson Village,2964.0,2.0,0.0,,0.0,0.0,2.0,23.0,3.0,20.0,0.0,0.0
72,Cornwall Town4,9527.0,0.0,0.0,0.0,,0.0,0.0,47.0,9.0,38.0,0.0,0.0
73,Coxsackie Village4,2742.0,2.0,0.0,1.0,,0.0,1.0,8.0,2.0,5.0,1.0,1.0
74,Crawford Town4,9240.0,11.0,0.0,0.0,,0.0,11.0,79.0,18.0,61.0,0.0,2.0
75,Croton-on-Hudson Village4,8238.0,3.0,0.0,0.0,,0.0,3.0,43.0,3.0,40.0,0.0,0.0
76,Deerpark Town4,7750.0,8.0,0.0,1.0,,3.0,4.0,126.0,33.0,91.0,2.0,0.0
77,Delhi Village4,3028.0,5.0,0.0,0.0,,1.0,4.0,42.0,10.0,30.0,2.0,0.0
78,Depew Village4,15200.0,15.0,0.0,5.0,,4.0,6.0,251.0,42.0,207.0,2.0,0.0
79,Dewitt Town,22682.0,20.0,0.0,,0.0,7.0,13.0,685.0,97.0,577.0,11.0,0.0
80,Dexter Village,1114.0,0.0,0.0,,0.0,0.0,0.0,9.0,1.0,8.0,0.0,0.0
81,Dobbs Ferry Village,11102.0,3.0,0.0,,0.0,1.0,2.0,96.0,11.0,81.0,4.0,2.0
82,Dolgeville Village4,2173.0,2.0,0.0,0.0,,0.0,2.0,32.0,7.0,25.0,0.0,0.0
83,Dryden Village4,2134.0,1.0,0.0,1.0,,0.0,0.0,80.0,13.0,64.0,3.0,1.0
84,Dunkirk4,12275.0,44.0,0.0,2.0,,13.0,29.0,241.0,44.0,194.0,3.0,0.0
85,Durham Town4,2689.0,1.0,0.0,0.0,,0.0,1.0,4.0,0.0,4.0,0.0,0.0
86,East Aurora-Aurora Town4,13790.0,8.0,0.0,1.0,,3.0,4.0,128.0,14.0,111.0,3.0,5.0
87,Eastchester Town,19965.0,6.0,0.0,,0.0,2.0,4.0,140.0,25.0,112.0,3.0,0.0
88,East Greenbush Town,16454.0,22.0,2.0,,0.0,7.0,13.0,371.0,41.0,325.0,5.0,0.0
89,East Hampton Town4,19728.0,7.0,0.0,1.0,,0.0,6.0,280.0,36.0,241.0,3.0,0.0
90,East Hampton Village,1108.0,0.0,0.0,,0.0,0.0,0.0,61.0,4.0,56.0,1.0,0.0
91,East Rochester Village4,6581.0,11.0,0.0,1.0,,3.0,7.0,75.0,7.0,67.0,1.0,0.0
92,East Syracuse Village,3030.0,7.0,0.0,,0.0,1.0,6.0,206.0,29.0,171.0,6.0,0.0
93,Eden Town4,7696.0,3.0,0.0,2.0,,0.0,1.0,28.0,6.0,21.0,1.0,0.0
94,Ellenville Village,4114.0,12.0,0.0,,0.0,2.0,10.0,115.0,38.0,75.0,2.0,1.0
95,Ellicott Town4,5156.0,7.0,0.0,5.0,,1.0,1.0,270.0,30.0,230.0,10.0,3.0
96,Elmira,28803.0,80.0,1.0,,0.0,29.0,50.0,964.0,230.0,712.0,22.0,3.0
97,Elmira Heights Village,4034.0,1.0,0.0,,0.0,0.0,1.0,77.0,10.0,64.0,3.0,0.0
98,Elmira Town,5894.0,1.0,0.0,,0.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0
99,Elmsford Village4,4808.0,2.0,0.0,0.0,,2.0,0.0,36.0,6.0,21.0,9.0,0.0
100,Endicott Village4,13096.0,75.0,0.0,4.0,,23.0,48.0,611.0,109.0,488.0,14.0,0.0
101,Fairport Village4,5336.0,4.0,0.0,1.0,,0.0,3.0,48.0,10.0,36.0,2.0,0.0
102,Fallsburg Town4,12169.0,12.0,0.0,2.0,,0.0,10.0,105.0,53.0,50.0,2.0,0.0
103,Fishkill Town,21502.0,7.0,0.0,,0.0,2.0,5.0,266.0,13.0,250.0,3.0,1.0
104,Fishkill Village4,2147.0,0.0,0.0,0.0,,0.0,0.0,30.0,0.0,28.0,2.0,0.0
105,Floral Park Village,15915.0,9.0,0.0,,0.0,4.0,5.0,47.0,8.0,38.0,1.0,0.0
106,Florida Village4,2865.0,0.0,0.0,0.0,,0.0,0.0,24.0,2.0,22.0,0.0,0.0
107,Fort Edward Village4,3292.0,1.0,0.0,0.0,,0.0,1.0,8.0,2.0,5.0,1.0,0.0
108,Fort Plain Village4,2268.0,7.0,0.0,1.0,,1.0,5.0,61.0,13.0,47.0,1.0,0.0
109,Frankfort Town4,5010.0,1.0,0.0,0.0,,0.0,1.0,38.0,8.0,27.0,3.0,0.0
110,Frankfort Village4,2556.0,0.0,0.0,0.0,,0.0,0.0,36.0,10.0,26.0,0.0,0.0
111,Franklinville Village,1700.0,3.0,0.0,,0.0,0.0,3.0,21.0,2.0,19.0,0.0,0.0
112,Fredonia Village4,10831.0,9.0,0.0,1.0,,1.0,7.0,236.0,30.0,202.0,4.0,0.0
113,Freeport Village4,43234.0,150.0,2.0,1.0,,77.0,70.0,848.0,98.0,687.0,63.0,3.0
114,Friendship Town4,1950.0,5.0,0.0,1.0,,0.0,4.0,17.0,5.0,12.0,0.0,0.0
115,Fulton City,11707.0,15.0,0.0,,0.0,7.0,8.0,455.0,72.0,381.0,2.0,1.0
116,Garden City Village,22595.0,12.0,1.0,,0.0,8.0,3.0,279.0,25.0,246.0,8.0,0.0
117,Gates Town4,28543.0,64.0,1.0,9.0,,21.0,33.0,1037.0,106.0,903.0,28.0,0.0
118,Geddes Town,10436.0,4.0,0.0,,0.0,2.0,2.0,244.0,16.0,221.0,7.0,0.0
119,Geneseo Village,7914.0,4.0,0.0,,0.0,1.0,3.0,112.0,8.0,103.0,1.0,0.0
120,Geneva,13184.0,19.0,0.0,,0.0,4.0,15.0,350.0,79.0,267.0,4.0,5.0
121,Germantown Town,1915.0,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0
122,Glen Cove,27241.0,6.0,0.0,,0.0,6.0,0.0,97.0,19.0,72.0,6.0,1.0
123,Glen Park Village,518.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
124,Glens Falls4,14518.0,25.0,0.0,8.0,,4.0,13.0,338.0,39.0,293.0,6.0,1.0
125,Glenville Town4,21819.0,6.0,0.0,2.0,,1.0,3.0,470.0,33.0,431.0,6.0,2.0
126,Gloversville4,15242.0,39.0,0.0,1.0,,12.0,26.0,677.0,99.0,562.0,16.0,2.0
127,Goshen Village,5375.0,5.0,0.0,,0.0,1.0,4.0,51.0,3.0,47.0,1.0,0.0
128,Gowanda Village,2662.0,8.0,0.0,,0.0,0.0,8.0,78.0,18.0,59.0,1.0,0.0
129,Granville Village,2472.0,1.0,0.0,,0.0,1.0,0.0,21.0,10.0,10.0,1.0,0.0
130,Greece Town4,97144.0,169.0,1.0,34.0,,48.0,86.0,2430.0,296.0,2073.0,61.0,0.0
131,Greenburgh Town4,45133.0,61.0,0.0,7.0,,20.0,34.0,602.0,68.0,511.0,23.0,0.0
132,Greene Village,1540.0,0.0,0.0,,0.0,0.0,0.0,16.0,2.0,13.0,1.0,0.0
133,Green Island Village4,2620.0,3.0,0.0,0.0,,0.0,3.0,46.0,6.0,37.0,3.0,0.0
134,Greenport Town4,4049.0,1.0,0.0,0.0,,0.0,1.0,169.0,5.0,162.0,2.0,0.0
135,Greenwich Village,1756.0,0.0,0.0,,0.0,0.0,0.0,20.0,3.0,17.0,0.0,0.0
136,Greenwood Lake Village4,3105.0,3.0,0.0,1.0,,0.0,2.0,36.0,6.0,27.0,3.0,0.0
137,Groton Village4,2417.0,3.0,0.0,0.0,,1.0,2.0,49.0,11.0,38.0,0.0,0.0
138,Guilderland Town4,33958.0,25.0,4.0,5.0,,4.0,12.0,669.0,62.0,602.0,5.0,1.0
139,Hamburg Town4,45656.0,51.0,0.0,4.0,,11.0,36.0,1042.0,124.0,894.0,24.0,3.0
140,Hamburg Village4,9546.0,6.0,0.0,1.0,,2.0,3.0,129.0,21.0,107.0,1.0,1.0
141,Hamilton Village4,4163.0,0.0,0.0,0.0,,0.0,0.0,26.0,7.0,19.0,0.0,0.0
142,Hammondsport Village,650.0,0.0,0.0,,0.0,0.0,0.0,10.0,4.0,6.0,0.0,0.0
143,Harriman Village4,2486.0,1.0,0.0,0.0,,0.0,1.0,29.0,5.0,23.0,1.0,1.0
144,Harrison Town4,28130.0,5.0,0.0,0.0,,0.0,5.0,129.0,17.0,111.0,1.0,0.0
145,Hastings-on-Hudson Village,7970.0,1.0,0.0,,0.0,0.0,1.0,55.0,3.0,50.0,2.0,1.0
146,Haverstraw Town,37422.0,46.0,1.0,,0.0,19.0,26.0,268.0,55.0,204.0,9.0,0.0
147,Hempstead Village,55722.0,477.0,8.0,,0.0,248.0,221.0,965.0,201.0,607.0,157.0,3.0
148,Herkimer Village,7646.0,55.0,0.0,,0.0,8.0,47.0,390.0,32.0,358.0,0.0,2.0
149,Highlands Town4,8400.0,2.0,0.0,0.0,,0.0,2.0,19.0,3.0,16.0,0.0,0.0
150,Holley Village4,1769.0,3.0,0.0,1.0,,0.0,2.0,35.0,10.0,24.0,1.0,0.0
151,Homer Village,3240.0,1.0,0.0,,0.0,0.0,1.0,57.0,14.0,41.0,2.0,0.0
152,Hoosick Falls Village4,3436.0,3.0,0.0,0.0,,1.0,2.0,35.0,3.0,31.0,1.0,0.0
153,Hornell4,8453.0,5.0,0.0,0.0,,0.0,5.0,116.0,13.0,101.0,2.0,0.0
154,Hudson4,6632.0,27.0,0.0,6.0,,4.0,17.0,167.0,17.0,148.0,2.0,0.0
155,Hudson Falls Village4,7305.0,7.0,0.0,4.0,,1.0,2.0,110.0,16.0,91.0,3.0,1.0
156,Huntington Bay Village,1429.0,0.0,0.0,,0.0,0.0,0.0,13.0,2.0,11.0,0.0,0.0
157,Hyde Park Town,21326.0,14.0,0.0,,0.0,4.0,10.0,137.0,25.0,107.0,5.0,0.0
158,Ilion Village4,7969.0,13.0,0.0,2.0,,0.0,11.0,130.0,18.0,109.0,3.0,0.0
159,Independence Town,1188.0,0.0,0.0,,0.0,0.0,0.0,9.0,3.0,6.0,0.0,0.0
160,Inlet Town4,328.0,0.0,0.0,0.0,,0.0,0.0,15.0,0.0,14.0,1.0,0.0
161,Interlaken Village,606.0,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
162,Irondequoit Town4,51390.0,74.0,0.0,9.0,,33.0,32.0,1414.0,254.0,1125.0,35.0,3.0
163,Irvington Village,6581.0,1.0,0.0,,0.0,0.0,1.0,18.0,5.0,13.0,0.0,0.0
164,Jamestown4,30646.0,221.0,1.0,43.0,,45.0,132.0,1285.0,354.0,882.0,49.0,15.0
165,Johnson City Village4,14824.0,44.0,1.0,3.0,,8.0,32.0,1090.0,132.0,950.0,8.0,1.0
166,Johnstown,8439.0,11.0,0.0,,0.0,4.0,7.0,286.0,26.0,255.0,5.0,2.0
167,Jordan Village,1346.0,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,5.0,1.0,0.0
168,Kenmore Village4,15216.0,16.0,0.0,0.0,,2.0,14.0,315.0,46.0,260.0,9.0,0.0
169,Kensington Village,1178.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,Kent Town4,13401.0,2.0,0.0,1.0,,1.0,0.0,80.0,19.0,61.0,0.0,0.0
171,Kings Point Village,5065.0,0.0,0.0,,0.0,0.0,0.0,10.0,0.0,7.0,3.0,0.0
172,Kingston4,23702.0,67.0,2.0,5.0,,25.0,35.0,672.0,87.0,578.0,7.0,1.0
173,Kirkland Town4,8347.0,2.0,0.0,0.0,,0.0,2.0,67.0,19.0,45.0,3.0,0.0
174,Lackawanna4,17931.0,77.0,1.0,3.0,,10.0,63.0,412.0,86.0,299.0,27.0,7.0
175,Lake Placid Village,2460.0,2.0,0.0,,0.0,0.0,2.0,29.0,6.0,22.0,1.0,0.0
176,Lake Success Village4,3053.0,2.0,0.0,0.0,,0.0,2.0,28.0,11.0,17.0,0.0,1.0
177,Lakewood-Busti4,7265.0,11.0,0.0,9.0,,1.0,1.0,414.0,31.0,382.0,1.0,0.0
178,Lancaster Town4,36760.0,15.0,0.0,3.0,,2.0,10.0,431.0,35.0,392.0,4.0,2.0
179,Larchmont Village4,5971.0,0.0,0.0,0.0,,0.0,0.0,99.0,7.0,91.0,1.0,0.0
180,Le Roy Village4,4325.0,6.0,0.0,0.0,,1.0,5.0,82.0,18.0,63.0,1.0,0.0
181,Lewisboro Town4,12712.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.0,5.0,0.0,0.0
182,Lewiston Town and Village4,16145.0,6.0,0.0,0.0,,2.0,4.0,126.0,20.0,99.0,7.0,1.0
183,Liberty Village4,4251.0,20.0,0.0,6.0,,3.0,11.0,215.0,39.0,170.0,6.0,0.0
184,Little Falls4,4875.0,9.0,0.0,3.0,,0.0,6.0,122.0,15.0,105.0,2.0,0.0
185,Liverpool Village4,2307.0,4.0,0.0,1.0,,1.0,2.0,44.0,5.0,38.0,1.0,0.0
186,Lloyd Harbor Village,3680.0,0.0,0.0,,0.0,0.0,0.0,14.0,0.0,13.0,1.0,0.0
187,Lloyd Town,10669.0,5.0,0.0,,0.0,0.0,5.0,115.0,12.0,100.0,3.0,0.0
188,Long Beach4,33613.0,40.0,1.0,0.0,,12.0,27.0,264.0,31.0,226.0,7.0,1.0
189,Lowville Village4,3438.0,6.0,0.0,1.0,,0.0,5.0,47.0,5.0,42.0,0.0,0.0
190,Lynbrook Village4,19506.0,15.0,0.0,1.0,,4.0,10.0,165.0,13.0,142.0,10.0,0.0
